pert_id,uniprot_id,inchi_key,assay_value,binding,atc_agonist,atc_inhibitor
BRD-K49328571,Q08345,ZBNZXTGUTAYRHI-UHFFFAOYSA-N,9.936,True,False,True
BRD-K49371609,O60563,QTHCAAFKVUWAFI-DJKKODMXSA-N,1.37,True,,
BRD-K49371609,P36888,QTHCAAFKVUWAFI-DJKKODMXSA-N,5.15,True,,
BRD-K49371609,P42336,QTHCAAFKVUWAFI-DJKKODMXSA-N,4.080000038146972,True,,
BRD-K49371609,P50613,QTHCAAFKVUWAFI-DJKKODMXSA-N,2.5,True,,
BRD-K49371609,P50750,QTHCAAFKVUWAFI-DJKKODMXSA-N,2.2899999999999996,True,,
BRD-K49371609,P78527,QTHCAAFKVUWAFI-DJKKODMXSA-N,2.0,True,,
BRD-K49372556,P23219,DJEIHHYCDCTAAH-UHFFFAOYSA-N,3.566666666666667,True,,
BRD-K49468759,P41279,PHNZIIMWDVXPGG-UHFFFAOYSA-N,1.6,True,,
BRD-K49519092,Q9Y5N1,DFVSGZHJSIEEQQ-UHFFFAOYSA-N,0.6062125,True,,
BRD-K49671696,P21917,FPCCSQOGAWCVBH-UHFFFAOYSA-N,3.5,True,True,False
BRD-K49671696,P28223,FPCCSQOGAWCVBH-UHFFFAOYSA-N,9.965863639007916,True,True,False
BRD-K49671696,P30939,FPCCSQOGAWCVBH-UHFFFAOYSA-N,1.25,True,True,False
BRD-K49671696,P35367,FPCCSQOGAWCVBH-UHFFFAOYSA-N,2.0,True,True,False
BRD-K49671696,Q99720,FPCCSQOGAWCVBH-UHFFFAOYSA-N,1.0,True,True,False
BRD-K49685476,P10826,FOIVPCKZDPCJJY-JQIJEIRASA-N,4.666666666666667,True,,
BRD-K49807096,P12821,XPCFTKFZXHTYIP-PMACEKPBSA-N,1.70000002384186,True,False,True
BRD-K49865102,P15056,SUDAHWBOROXANE-SECBINFHSA-N,6.0,True,,
BRD-K49945136,Q13639,MOZPSIXKYJUTKI-UHFFFAOYSA-N,0.2442299979486066,True,,
